OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
65,06073010011,San Diego,CA,3665,0.34,9236.9449,307.897764,2.66234,13095.40624,9450575.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,06073010012,San Diego,CA,4645,0.24,9236.9449,307.897764,2.66234,11611.2652,6736791.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,06073010013,San Diego,CA,5271,0.35,9236.9449,307.897764,2.66234,14984.0994,9901522.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
68,06073010103,San Diego,CA,5713,1.19,9236.9449,307.897764,2.66234,47089.1695,30918882.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69,06073010104,San Diego,CA,3213,0.62,9236.9449,307.897764,2.66234,19664.14789,17323038.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
70,06073010106,San Diego,CA,5252,0.52,9236.9449,307.897764,2.66234,16324.33683,14490216.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
71,06073010107,San Diego,CA,6595,0.9,9236.9449,307.897764,2.66234,19668.21883,24883136.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
72,06073010109,San Diego,CA,4594,4.98,9236.9449,307.897764,2.66234,57478.50744,138456950.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
73,06073010110,San Diego,CA,7600,0.84,4171,139,1,23887.39839,23552040.28,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,1
74,06073010111,San Diego,CA,2981,0.23,9236.9449,307.897764,2.66234,11091.29131,6385333.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
75,06073010112,San Diego,CA,4859,0.31,9236.9449,307.897764,2.66234,13350.3597,8511043.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,06073010200,San Diego,CA,6815,3.07,9236.9449,307.897764,2.66234,18571.2005,711381.8111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,06073010401,San Diego,CA,2390,0.16,9236.9449,307.897764,2.66234,1341.097361,22782.5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
